Pressure Sensor,Temperature Sensor,Flow Sensor,Vibration Sensor,Gas Sensor,Position Sensor,Tension Sensor,Acoustic Sensor,Humidity Sensor,Optical Sensor,Magnetic Sensor,Seismic Sensor,Chemical Sensor,Rate of Penetration Sensor,Weight on Bit Sensor,RPM Sensor,Leak Detection Sensor,Corrosion Sensor,Timestamp,Location
5523.524667188717,192.94262349401757,3776.741686569936,21.268223298302093,0.0,191.169837293098,89.80752641435413,19895.32868058584,27.663540945105417,644.5901195232879,2.716171086451095,1.2944374081556338,0.0,169.16331228175528,72976.04107674114,263.0852808137723,7.2761055673521655,7.316786722923757,1997-10-21 09:57:45.737152,Site-3
19609.561,387.384,3865.281,0.612,722.665,37.192,10.761,1613.318,45.809,517.786,7.425,0.997,97.085,98.202,18604.022,297.741,6.746,7.072,1997-10-22 09:57:45.737152,Site-43
945.086,566.743,3096.123,11.571,825.81,22.447,194.857,7981.298,65.451,519.068,3.803,1.574,87.848,113.32,5477.363,453.443,6.945,2.187,1997-10-23 09:57:45.737152,Site-44
8458.481,543.697,2542.046,38.999,97.59,74.71,99.37,15626.532,22.728,699.988,2.339,1.143,44.822,34.634,99306.88,51.719,3.147,5.286,1997-10-24 09:57:45.737152,Site-50
2127.998,111.507,5921.146,30.07,877.465,105.206,498.537,19824.921,59.137,611.249,4.008,0.459,34.813,190.947,96269.815,20.893,6.37,4.144,1997-10-25 09:57:45.737152,Site-7
4235.826,93.406,8937.162,22.52,189.2,42.283,110.094,9910.732,76.234,447.361,3.441,0.894,99.394,196.425,86725.868,273.005,8.404,8.998,1997-10-26 09:57:45.737152,Site-29
4555.397,-9.026,9973.374,16.016,297.145,230.666,361.114,15128.469,29.716,514.289,6.584,0.099,77.788,40.995,49893.82,221.659,4.621,5.906,1997-10-27 09:57:45.737152,Site-12
15892.011663105988,-1.2934036812184715,4274.885554779013,24.897065145682607,847.6457660624129,81.4911341469979,400.7077556367128,12557.02101976123,8.874307713959254,518.2632365987145,7.726694260251891,1.0681078786450184,37.38146967332516,90.82333185662925,3888.121702102229,360.92433071457253,3.1136121786832405,5.00885463272064,1997-10-28 09:57:45.737152,Site-16
13029.804326465284,-35.61851947836059,5482.736571711428,43.24370547508571,202.57257574825806,159.40090829934758,121.33426394673867,12880.974380175932,59.12009644686766,637.725987321283,8.044174523394604,1.243281521183678,48.981399994008534,101.75163169221852,60249.322028146766,0.0,0.6869106477929962,5.4180325944274825,1997-10-29 09:57:45.737152,Site-50
6118.415,393.631,5112.162,1.818,133.912,30.808,230.141,10109.963,94.711,444.638,8.741,0.475,43.372,142.913,76640.362,179.444,1.428,4.727,1997-10-30 09:57:45.737152,Site-28
